代码,名称,日期,收盘价,涨跌幅,成交量比VMA5,换手率
002009,天奇股份,2026-02-13,35.64,10.0%,1.15,31.18
603466,风语筑,2026-02-13,11.68,9.98%,1.37,24.93
603103,横店影视,2026-02-13,34.9,6.63%,1.54,6.55
001330,博纳影业,2026-02-13,12.77,5.89%,1.85,30.66
603000,人民网,2026-02-13,25.72,4.09%,1.7,13.49
000559,万向钱潮,2026-02-13,20.31,3.52%,1.03,7.54
688277,天智航,2026-01-21,23.88,12.38%,1.33,8.26
600391,航发科技,2025-12-25,36.52,10.0%,1.03,13.03
002977,天箭科技,2025-12-25,43.1,3.98%,1.05,18.17
001379,腾达科技,2025-12-25,24.99,3.91%,1.14,29.11
002985,北摩高科,2025-12-25,31.78,3.52%,1.13,11.51
