代码,名称,日期,收盘价,涨跌幅,成交量比VMA5,换手率
000636,风华高科,2026-02-25,25.74,10.0%,2.12,15.01
600397,江钨装备,2026-02-25,18.74,9.98%,1.66,17.38
001896,豫能控股,2026-02-25,11.03,9.97%,4.34,21.0
000890,法尔胜,2026-02-25,7.29,9.95%,2.46,32.07
603616,韩建河山,2026-02-25,8.01,7.66%,1.48,29.69
603138,海量数据,2026-02-25,22.33,6.69%,1.13,18.66
002716,湖南白银,2026-02-25,15.87,5.45%,1.58,18.37
002842,翔鹭钨业,2026-02-25,37.5,4.6%,1.34,31.72
002207,准油股份,2026-02-25,11.59,4.41%,2.11,33.13
002490,山东墨龙,2026-02-25,8.79,3.78%,2.36,18.45
605006,山东玻纤,2026-02-25,10.69,2.99%,1.82,16.73
002165,红 宝 丽,2026-02-25,12.78,2.08%,1.35,30.16
600722,金牛化工,2026-02-25,9.94,2.05%,1.28,19.73
002358,森源电气,2026-02-25,8.98,2.05%,1.45,19.94
000554,泰山石油,2026-02-25,8.83,1.26%,2.14,24.68
688277,天智航,2026-01-21,23.88,12.38%,1.33,8.26
600391,航发科技,2025-12-25,36.52,10.0%,1.03,13.03
002977,天箭科技,2025-12-25,43.1,3.98%,1.05,18.17
001379,腾达科技,2025-12-25,24.99,3.91%,1.14,29.11
002985,北摩高科,2025-12-25,31.78,3.52%,1.13,11.51
