代码,名称,日期,收盘价,涨跌幅,成交量比VMA5,换手率
000039,中集集团,2026-02-04,11.41,10.03%,1.66,7.25
600330,天通股份,2026-02-04,16.94,10.0%,1.8,22.82
603618,杭电股份,2026-02-04,12.02,9.97%,1.84,11.99
600586,金晶科技,2026-02-04,6.94,8.44%,1.91,16.54
000599,青岛双星,2026-02-04,7.88,7.07%,1.13,9.51
603806,福斯特,2026-02-04,20.0,6.95%,1.72,5.79
600590,泰豪科技,2026-02-04,12.39,6.63%,2.09,21.72
605599,菜百股份,2026-02-04,25.23,5.43%,1.34,3.93
002112,三变科技,2026-02-04,24.91,4.71%,1.52,43.61
002455,百川股份,2026-02-04,10.78,4.56%,1.27,45.36
600313,农发种业,2026-02-04,8.25,4.04%,1.08,24.18
002009,天奇股份,2026-02-04,31.49,3.93%,1.04,29.6
603095,越剑智能,2026-02-04,20.59,3.31%,1.77,5.88
002165,红 宝 丽,2026-02-04,14.12,3.07%,1.1,41.48
601212,白银有色,2026-02-04,11.36,2.62%,2.28,8.8
002724,海洋王,2026-02-04,7.57,2.16%,1.01,4.51
603697,有友食品,2026-02-04,13.78,2.07%,1.68,7.71
000811,冰轮环境,2026-02-04,17.67,1.96%,1.53,5.36
002339,积成电子,2026-02-04,12.32,1.4%,1.51,22.64
688277,天智航,2026-01-21,23.88,12.38%,1.33,8.26
600391,航发科技,2025-12-25,36.52,10.0%,1.03,13.03
002977,天箭科技,2025-12-25,43.1,3.98%,1.05,18.17
001379,腾达科技,2025-12-25,24.99,3.91%,1.14,29.11
002985,北摩高科,2025-12-25,31.78,3.52%,1.13,11.51
