代码,名称,日期,收盘价,涨跌幅,成交量比VMA5,换手率
600714,金瑞矿业,2026-02-27,17.96,7.54%,1.59,9.23
000803,山高环能,2026-02-27,9.52,4.85%,1.77,6.84
002248,华东数控,2026-02-27,14.86,4.13%,1.1,15.73
002491,通鼎互联,2026-02-27,10.59,1.05%,1.32,20.99
000636,风华高科,2026-02-25,25.74,10.0%,2.12,15.01
001896,豫能控股,2026-02-25,11.03,9.97%,4.34,21.0
002165,红 宝 丽,2026-02-25,12.78,2.08%,1.35,30.16
000554,泰山石油,2026-02-25,8.83,1.26%,2.14,24.68
688277,天智航,2026-01-21,23.88,12.38%,1.33,8.26
600391,航发科技,2025-12-25,36.52,10.0%,1.03,13.03
002977,天箭科技,2025-12-25,43.1,3.98%,1.05,18.17
001379,腾达科技,2025-12-25,24.99,3.91%,1.14,29.11
002985,北摩高科,2025-12-25,31.78,3.52%,1.13,11.51
