代码,名称,日期,收盘价,涨跌幅,成交量比VMA5,换手率
603618,杭电股份,2026-02-09,15.08,9.99%,1.61,31.44
002129,TCL中环,2026-02-09,11.68,9.98%,1.09,10.7
600590,泰豪科技,2026-02-09,12.68,9.97%,1.02,13.07
000995,皇台酒业,2026-02-09,18.8,3.98%,1.07,30.45
603778,国晟科技,2026-02-09,16.68,3.28%,1.07,17.93
002009,天奇股份,2026-02-09,32.62,2.97%,1.11,29.66
002334,英威腾,2026-02-09,9.91,2.69%,1.03,8.52
002339,积成电子,2026-02-09,12.95,1.49%,1.3,24.41
688277,天智航,2026-01-21,23.88,12.38%,1.33,8.26
600391,航发科技,2025-12-25,36.52,10.0%,1.03,13.03
002977,天箭科技,2025-12-25,43.1,3.98%,1.05,18.17
001379,腾达科技,2025-12-25,24.99,3.91%,1.14,29.11
002985,北摩高科,2025-12-25,31.78,3.52%,1.13,11.51
