code,strategy,name
002196,高量不破: 回踩守住底线，必火信号,方正电机
600179,高量不破: 回踩守住底线，必火信号,安通控股
002946,草上飞: 机构控盘波段，持股待涨,新乳业
002246,草上飞: 机构控盘波段，持股待涨,北化股份
000530,三位一体: 步入起飞线，有理操作区,冰山冷热
000811,草上飞: 机构控盘波段，持股待涨,冰轮环境
605377,草上飞: 机构控盘波段，持股待涨,华旺科技
000683,草上飞: 机构控盘波段，持股待涨,博源化工
603938,高量不破: 回踩守住底线，必火信号,三孚股份
600116,草上飞: 机构控盘波段，持股待涨,三峡水利
002635,三位一体: 步入起飞线，有理操作区,安洁科技
002849,高量不破: 回踩守住底线，必火信号,威星智能
002400,三位一体: 步入起飞线，有理操作区,省广集团
002111,草上飞: 机构控盘波段，持股待涨,威海广泰
000510,草上飞: 机构控盘波段，持股待涨,新金路
603926,三位一体: 步入起飞线，有理操作区,铁流股份
600367,高量不破: 回踩守住底线，必火信号,红星发展
002180,草上飞: 机构控盘波段，持股待涨,纳思达
603158,高量不破: 回踩守住底线，必火信号,腾龙股份
002708,草上飞: 机构控盘波段，持股待涨,光洋股份
002471,草上飞: 机构控盘波段，持股待涨,中超控股
000758,草上飞: 机构控盘波段，持股待涨,中色股份
002139,三位一体: 步入起飞线，有理操作区,拓邦股份
603778,草上飞: 机构控盘波段，持股待涨,国晟科技
000708,草上飞: 机构控盘波段，持股待涨,中信特钢
000987,草上飞: 机构控盘波段，持股待涨,越秀资本
002601,草上飞: 机构控盘波段，持股待涨,龙佰集团
000422,三位一体: 步入起飞线，有理操作区,湖北宜化
002100,三位一体: 步入起飞线，有理操作区,天康生物
002571,草上飞: 机构控盘波段，持股待涨,德力股份
002383,草上飞: 机构控盘波段，持股待涨,合众思壮
603221,三位一体: 步入起飞线，有理操作区,爱丽家居
002420,高量不破: 回踩守住底线，必火信号,毅昌科技
600061,草上飞: 机构控盘波段，持股待涨,国投资本
002949,高量不破: 回踩守住底线，必火信号,华阳国际
600480,三位一体: 步入起飞线，有理操作区,凌云股份
002556,草上飞: 机构控盘波段，持股待涨,辉隆股份
002429,高量不破: 回踩守住底线，必火信号,兆驰股份
002716,草上飞: 机构控盘波段，持股待涨,湖南白银
601528,草上飞: 机构控盘波段，持股待涨,瑞丰银行
002448,草上飞: 机构控盘波段，持股待涨,中原内配
600755,高量不破: 回踩守住底线，必火信号,厦门国贸
000561,草上飞: 机构控盘波段，持股待涨,烽火电子
601882,草上飞: 机构控盘波段，持股待涨,海天精工
000922,草上飞: 机构控盘波段，持股待涨,佳电股份
002250,草上飞: 机构控盘波段，持股待涨,联化科技
603057,高量不破: 回踩守住底线，必火信号,紫燕食品
605069,高量不破: 回踩守住底线，必火信号,正和生态
603861,草上飞: 机构控盘波段，持股待涨,白云电器
603966,高量不破: 回踩守住底线，必火信号,法兰泰克
002296,高量不破: 回踩守住底线，必火信号,辉煌科技
600109,草上飞: 机构控盘波段，持股待涨,国金证券
002842,草上飞: 机构控盘波段，持股待涨,翔鹭钨业
603331,草上飞: 机构控盘波段，持股待涨,百达精工
002413,草上飞: 机构控盘波段，持股待涨,雷科防务
002674,高量不破: 回踩守住底线，必火信号,兴业科技
002739,三位一体: 步入起飞线，有理操作区,万达电影
600973,草上飞: 机构控盘波段，持股待涨,宝胜股份
000061,草上飞: 机构控盘波段，持股待涨,农 产 品
000039,草上飞: 机构控盘波段，持股待涨,中集集团
000680,草上飞: 机构控盘波段，持股待涨,山推股份
600176,高量不破: 回踩守住底线，必火信号,中国巨石
000917,高量不破: 回踩守住底线，必火信号,电广传媒
002576,三位一体: 步入起飞线，有理操作区,通达动力
002171,草上飞: 机构控盘波段，持股待涨,楚江新材
000973,草上飞: 机构控盘波段，持股待涨,佛塑科技
000551,高量不破: 回踩守住底线，必火信号,创元科技
002249,三位一体: 步入起飞线，有理操作区,大洋电机
605007,高量不破: 回踩守住底线，必火信号,五洲特纸
601958,草上飞: 机构控盘波段，持股待涨,金钼股份
603037,三位一体: 步入起飞线，有理操作区,凯众股份
600927,草上飞: 机构控盘波段，持股待涨,永安期货
002427,草上飞: 机构控盘波段，持股待涨,尤夫股份
603700,草上飞: 机构控盘波段，持股待涨,宁水集团
600029,高量不破: 回踩守住底线，必火信号,南方航空
600966,高量不破: 回踩守住底线，必火信号,博汇纸业
600838,高量不破: 回踩守住底线，必火信号,上海九百
603626,草上飞: 机构控盘波段，持股待涨,科森科技
002361,高量不破: 回踩守住底线，必火信号,神剑股份
600292,高量不破: 回踩守住底线，必火信号,远达环保
600435,草上飞: 机构控盘波段，持股待涨,北方导航
002293,草上飞: 机构控盘波段，持股待涨,罗莱生活
600531,草上飞: 机构控盘波段，持股待涨,豫光金铅
000837,三位一体: 步入起飞线，有理操作区,秦川机床
603311,高量不破: 回踩守住底线，必火信号,金海高科
000863,草上飞: 机构控盘波段，持股待涨,三湘印象
002115,草上飞: 机构控盘波段，持股待涨,三维通信
002416,草上飞: 机构控盘波段，持股待涨,爱施德
601229,草上飞: 机构控盘波段，持股待涨,上海银行
600143,草上飞: 机构控盘波段，持股待涨,金发科技
600226,高量不破: 回踩守住底线，必火信号,亨通股份
601555,草上飞: 机构控盘波段，持股待涨,东吴证券
603128,高量不破: 回踩守住底线，必火信号,华贸物流
601177,三位一体: 步入起飞线，有理操作区,杭齿前进
600273,草上飞: 机构控盘波段，持股待涨,嘉化能源
600478,草上飞: 机构控盘波段，持股待涨,科力远
600577,草上飞: 机构控盘波段，持股待涨,精达股份
601156,草上飞: 机构控盘波段，持股待涨,东航物流
601233,草上飞: 机构控盘波段，持股待涨,桐昆股份
002094,草上飞: 机构控盘波段，持股待涨,青岛金王
600736,高量不破: 回踩守住底线，必火信号,苏州高新
600331,草上飞: 机构控盘波段，持股待涨,宏达股份
600350,草上飞: 机构控盘波段，持股待涨,山东高速
002245,高量不破: 回踩守住底线，必火信号,蔚蓝锂芯
600397,草上飞: 机构控盘波段，持股待涨,江钨装备
002493,草上飞: 机构控盘波段，持股待涨,荣盛石化
603586,高量不破: 回踩守住底线，必火信号,金麒麟
600192,三位一体: 步入起飞线，有理操作区,长城电工
600284,草上飞: 机构控盘波段，持股待涨,浦东建设
600178,草上飞: 机构控盘波段，持股待涨,东安动力
600888,草上飞: 机构控盘波段，持股待涨,新疆众和
002177,高量不破: 回踩守住底线，必火信号,御银股份
603500,草上飞: 机构控盘波段，持股待涨,祥和实业
603305,草上飞: 机构控盘波段，持股待涨,旭升集团
600590,草上飞: 机构控盘波段，持股待涨,泰豪科技
600528,草上飞: 机构控盘波段，持股待涨,中铁工业
600558,草上飞: 机构控盘波段，持股待涨,大西洋
601677,草上飞: 机构控盘波段，持股待涨,明泰铝业
000700,草上飞: 机构控盘波段，持股待涨,模塑科技
002511,草上飞: 机构控盘波段，持股待涨,中顺洁柔
002324,高量不破: 回踩守住底线，必火信号,普利特
603169,草上飞: 机构控盘波段，持股待涨,兰石重装
002278,草上飞: 机构控盘波段，持股待涨,神开股份
603912,草上飞: 机构控盘波段，持股待涨,佳力图
002367,草上飞: 机构控盘波段，持股待涨,康力电梯
002532,草上飞: 机构控盘波段，持股待涨,天山铝业
603387,三位一体: 步入起飞线，有理操作区,基蛋生物
600879,草上飞: 机构控盘波段，持股待涨,航天电子
603977,高量不破: 回踩守住底线，必火信号,国泰集团
000665,三位一体: 步入起飞线，有理操作区,湖北广电
601700,草上飞: 机构控盘波段，持股待涨,风范股份
600877,草上飞: 机构控盘波段，持股待涨,电科芯片
002276,三位一体: 步入起飞线，有理操作区,万马股份
000048,草上飞: 机构控盘波段，持股待涨,京基智农
600638,草上飞: 机构控盘波段，持股待涨,新黄浦
603819,草上飞: 机构控盘波段，持股待涨,神力股份
600348,草上飞: 机构控盘波段，持股待涨,华阳股份
603949,草上飞: 机构控盘波段，持股待涨,雪龙集团
000505,草上飞: 机构控盘波段，持股待涨,京粮控股
601111,草上飞: 机构控盘波段，持股待涨,中国国航
000830,草上飞: 机构控盘波段，持股待涨,鲁西化工
600523,草上飞: 机构控盘波段，持股待涨,贵航股份
600989,草上飞: 机构控盘波段，持股待涨,宝丰能源
605167,高量不破: 回踩守住底线，必火信号,利柏特
603085,草上飞: 机构控盘波段，持股待涨,天成自控
002706,草上飞: 机构控盘波段，持股待涨,良信股份
000978,草上飞: 机构控盘波段，持股待涨,桂林旅游
002757,三位一体: 步入起飞线，有理操作区,南兴股份
601788,草上飞: 机构控盘波段，持股待涨,光大证券
603081,草上飞: 机构控盘波段，持股待涨,大丰实业
001217,草上飞: 机构控盘波段，持股待涨,华尔泰
002182,高量不破: 回踩守住底线，必火信号,宝武镁业
002599,高量不破: 回踩守住底线，必火信号,盛通股份
002624,草上飞: 机构控盘波段，持股待涨,完美世界
603458,草上飞: 机构控盘波段，持股待涨,勘设股份
001236,草上飞: 机构控盘波段，持股待涨,弘业期货
002537,草上飞: 机构控盘波段，持股待涨,海联金汇
601339,草上飞: 机构控盘波段，持股待涨,百隆东方
603588,草上飞: 机构控盘波段，持股待涨,高能环境
601108,草上飞: 机构控盘波段，持股待涨,财通证券
002153,三位一体: 步入起飞线，有理操作区,石基信息
000878,草上飞: 机构控盘波段，持股待涨,云南铜业
600775,高量不破: 回踩守住底线，必火信号,南京熊猫
603103,三位一体: 步入起飞线，有理操作区,横店影视
603315,草上飞: 机构控盘波段，持股待涨,福鞍股份
605500,高量不破: 回踩守住底线，必火信号,森林包装
600728,高量不破: 回踩守住底线，必火信号,佳都科技
605555,三位一体: 步入起飞线，有理操作区,德昌股份
600817,三位一体: 步入起飞线，有理操作区,宇通重工
002248,三位一体: 步入起飞线，有理操作区,华东数控
603028,高量不破: 回踩守住底线，必火信号,赛福天
002648,三位一体: 步入起飞线，有理操作区,卫星化学
002233,三位一体: 步入起飞线，有理操作区,塔牌集团
600372,草上飞: 机构控盘波段，持股待涨,中航机载
002082,高量不破: 回踩守住底线，必火信号,万邦德
603095,高量不破: 回踩守住底线，必火信号,越剑智能
600686,草上飞: 机构控盘波段，持股待涨,金龙汽车
002272,高量不破: 回踩守住底线，必火信号,川润股份
603687,草上飞: 机构控盘波段，持股待涨,大胜达
605183,草上飞: 机构控盘波段，持股待涨,确成股份
600230,草上飞: 机构控盘波段，持股待涨,沧州大化
